Domain,Indicator,CD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Definition,Source
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 11,*,*,*,*,*,*,37429,39086,40376,38599,38388,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 12,*,*,*,*,*,*,63967,65906,68190,66670,66562,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 13,*,*,*,*,*,*,32358,33057,33409,32927,33053,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 14,*,*,*,*,*,*,40268,40744,40830,37130,35206,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 15,*,*,*,*,*,*,28256,29581,30123,28774,28789,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 16,*,*,*,*,*,*,40156,40414,40946,37497,36845,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 17,*,*,*,*,*,*,37600,37046,38510,34865,31514,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Brooklyn CD 18,*,*,*,*,*,*,30484,30819,31305,27960,27710,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 1,*,*,*,*,*,*,2085,2182,2122,2087,2001,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 2,*,*,*,*,*,*,4047,3902,3738,3537,3334,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 3,*,*,*,*,*,*,42145,42217,42834,41097,39433,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 4,*,*,*,*,*,*,11912,11758,11896,11417,11027,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 5,*,*,*,*,*,*,3657,3664,3688,3241,3208,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 6,*,*,*,*,*,*,5055,5017,5034,4869,4870,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 7,*,*,*,*,*,*,17886,18007,18402,17971,16996,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 8,*,*,*,*,*,*,5906,5981,5988,5720,5560,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 9,*,*,*,*,*,*,28883,28426,28238,26062,24154,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 10,*,*,*,*,*,*,39537,39439,39739,37591,35946,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 11,*,*,*,*,*,*,45665,46534,47475,46260,45104,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Manhattan CD 12,*,*,*,*,*,*,63401,62051,59959,55182,51384,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 1,*,*,*,*,*,*,25731,25559,25324,23379,22873,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 2,*,*,*,*,*,*,13996,13646,13503,12178,11574,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 3,*,*,*,*,*,*,32895,33161,33585,30201,29282,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 4,*,*,*,*,*,*,32332,32549,33009,29877,29331,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 5,*,*,*,*,*,*,23786,23606,23761,21267,20485,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 6,*,*,*,*,*,*,10909,10975,11025,10721,10288,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 7,*,*,*,*,*,*,26070,26629,27322,25720,26211,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 8,*,*,*,*,*,*,17309,18052,17770,17408,17452,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 9,*,*,*,*,*,*,25890,25748,25436,23778,22935,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 10,*,*,*,*,*,*,17433,17636,17525,16246,15855,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 11,*,*,*,*,*,*,5684,5909,6300,6011,6116,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 12,*,*,*,*,*,*,49939,50083,49924,46109,45188,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 13,*,*,*,*,*,*,21322,20936,21545,19494,19206,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Queens CD 14,*,*,*,*,*,*,30022,30194,28790,28705,29290,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Staten Island CD 1,*,*,*,*,*,*,40492,40970,41295,39358,38879,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Staten Island CD 2,*,*,*,*,*,*,14486,14663,14714,13805,13356,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Total Supplemental Nutrition Assistance Program Recipients,Staten Island CD 3,*,*,*,*,*,*,10406,10846,10949,10470,9928,"SNAP recipients for all breakdowns. SNAP is a broad-based, means-tested public benefit program for low-income New Yorkers that provides critical nutrition assistance.", NYC figures from HRA administrative data
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 1,*,*,*,*,*,*,*,*,29.2,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 2,*,*,*,*,*,*,*,*,29.2,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 3,*,*,*,*,*,*,*,*,32.5,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Housing,Total Number of Families on the Public Housing Waiting List,Brooklyn CD 7,*,*,*,*,*,*,*,*,*,*,3078,Total number of families on the public housing wait list.,"NYCHA’s Public Housing Wait List Data as of November 9, 2015"
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 4,*,*,*,*,*,*,*,*,32.0,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 5,*,*,*,*,*,*,*,*,34.1,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 6,*,*,*,*,*,*,*,*,32.5,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 7,*,*,*,*,*,*,*,*,29.5,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 8,*,*,*,*,*,*,*,*,16.4,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 9,*,*,*,*,*,*,*,*,25.2,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 10,*,*,*,*,*,*,*,*,16.8,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 11,*,*,*,*,*,*,*,*,20.5,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Bronx CD 12,*,*,*,*,*,*,*,*,20.7,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 1,*,*,*,*,*,*,*,*,22.5,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 2,*,*,*,*,*,*,*,*,13.4,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 3,*,*,*,*,*,*,*,*,27.4,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 4,*,*,*,*,*,*,*,*,27.8,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 5,*,*,*,*,*,*,*,*,33.6,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 6,*,*,*,*,*,*,*,*,9.3,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 7,*,*,*,*,*,*,*,*,29.5,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 8,*,*,*,*,*,*,*,*,24.9,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 9,*,*,*,*,*,*,*,*,25.0,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 10,*,*,*,*,*,*,*,*,20.4,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 11,*,*,*,*,*,*,*,*,22.0,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 12,*,*,*,*,*,*,*,*,32.1,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 13,*,*,*,*,*,*,*,*,24.0,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 14,*,*,*,*,*,*,*,*,25.6,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 15,*,*,*,*,*,*,*,*,20.2,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 16,*,*,*,*,*,*,*,*,32.1,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 17,*,*,*,*,*,*,*,*,21.7,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Brooklyn CD 18,*,*,*,*,*,*,*,*,13.8,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Manhattan CD 1,*,*,*,*,*,*,*,*,9.3,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Manhattan CD 2,*,*,*,*,*,*,*,*,9.3,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Manhattan CD 3,*,*,*,*,*,*,*,*,20.7,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
Economic Security and Mobility,Poverty Rate: Number of New Yorkers in or Near Poverty (2009-2013 average),Manhattan CD 4,*,*,*,*,*,*,*,*,11.3,*,*,"Percent of the City population in poverty using the CEO poverty rate. The measure includes a poverty threshold that recognizes the expense of New York City housing. On the income side, the measure includes household resources derived from programs such as the Supplemental Nutrition Assistance Program (SNAP) benefits, housing subsidies, and tax credits, while accounting for resources spent on transportation to work, child care, and out-of-pocket medical costs.",American Community Survey Public Use Micro Sample as augmented by CEO
