"UID","Property Name","Lon","Lat","Agency IDs and BBLs","Names","DOF Assessed Value","Delinquencies, Liens and Arrears","Addresses","Serious Violations Issued in 2010","REAC Number","Borough","CD","City Council District","Census Tract","Building Count","Unit Count","Year Built","Owner","Rental/Coop (Tenure)","Agencies","Portfolios","Owner Profit Status","Affordability Restrictions","Start Affordability Restrictions","Status Mitchell-Lama","Start Mitchell-Lama","Status LIHTC","Placed in Service (LIHTC)","Status HUD Project-Based Rental Assistance","Earliest HUD Project-Based Rental Assistance Contract Start","Status HUD Financing & Insurance","Start HUD Financing & Insurance"
,"100648","ST JOHN'S PLACE PHASE I","-73.9355452513309","40.670531686753","BBL 3-01374-0070;BBL 3-01380-0018;BBL 3-01383-0015;HUD Property 800015870","ST JOHN'S PLACE PHASE I","12798828",,"1280 ST JOHNS PLACE;1282 ST JOHNS PLACE;1286 ST JOHNS PLACE;1290 ST JOHNS PLACE;1535 STERLING PLACE;1539 STERLING PLACE;1550 STERLING PLACE;1566 STERLING PLACE","4","94","Brooklyn","BK08: Crown Heights/Prospect Heights","35","Brooklyn 353","8","192","1917","THOMPSON, KATISHA","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1982","Never",,"Never",,"Current","1982","Former","1983"
,"100649","ST LUKE'S HOUSING FOR THE ELDERLY","-73.8588406565067","40.8853839561574","BBL 2-04836-0001;HPD Application 2011-075;HUD Property 800015873","ST LUKE'S HOUSING FOR THE ELDERLY;St. Luke'S Housing For The Elderly","2574180",,"3911 BARNES AVENUE","0","85","Bronx","BX12: Williamsbridge/Baychester","12","Bronx 396","1","81","1981","ST LUKES HOUSING DEVE","Rental","Department of Housing Preservation & Development;U.S. Department of Housing and Urban Development","LIHTC 4%;Project-Based Section 8;Section 202/811","For Profit","Affordable","1981","Never",,"Current","2011","Current","1981","Current","1982"
,"100650","ST MARKS APARTMENTS","-73.9285195350017","40.6737636213376","BBL 3-01361-0038;HUD Property 800015874","ST MARKS APARTMENTS","600300",,"1238 ST MARKS AVENUE","1","88","Brooklyn","BK08: Crown Heights/Prospect Heights","36","Brooklyn 347","1","39","1910","ST MARKS ASSOC","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8;Section 236",,"Affordable","1972","Never",,"Never",,"Current","1972","Former","1972"
,"100651","ST PIUS V SENIOR HSG","-73.8052200845652","40.6935809382496","BBL 4-10050-0010;HUD Property 800054854","ST PIUS V SENIOR HSG","2867400",,"105-10 LIVERPOOL STREET","0","78","Queens","QN12: Jamaica/Hollis","28","Queens 204","1","69","1998","ST. PIUS V SENIOR HOU","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","2000","Never",,"Never",,"Former","2000","Current","2000"
,"100652","ST. MARGARETS HOUSE","-74.00412627593","40.7081282388806","BBL 1-00095-0027;HUD Property 800015886","ST. MARGARETS HOUSE","11018160",,"41 FULTON STREET","0","96","Manhattan","MN01: Financial District","01","Manhattan 15.01","1","251","1981","ST MARGARET'S HOUSE","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 202/811",,"Affordable","1981","Never",,"Never",,"Current","1981","Current","1982"
,"100653","ST. MATTHEWS & ST. TIMOTHYS","-73.972631738643","40.7852962648641","BBL 1-01198-0003;HUD Property 800015888","ST. MATTHEWS & ST. TIMOTHYS","2056500",,"505 COLUMBUS AVENUE","0",,"Manhattan","MN07: Upper West Side","06","Manhattan 169","1","25","1900","505 COLUMBUS LLC","Rental","U.S. Department of Housing and Urban Development","Rental Supplement Program (Rent Supp)",,"Not Affordable","1975","Never",,"Never",,"Former","1975","Never",
,"100654","ST. MATTHEWS & ST. TIMOTHYS HOUSES","-73.974823839687","40.7848082030082","BBL 1-01213-0042;HUD Property 800015877","ST. MATTHEWS & ST. TIMOTHYS HOUSES","1098500",,"122 WEST 83 STREET","15","93","Manhattan","MN07: Upper West Side","06","Manhattan 169","1","72","1905","ST. MATTHEWS & ST ETA","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Rental Supplement Program (Rent Supp)",,"Not Affordable","1974","Never",,"Never",,"Former","1974","Never",
,"100655","ST. NICHOLAS GARDENS","-73.9521678742389","40.8003169575056","BBL 1-01822-0042;HUD Property 800015878","ST. NICHOLAS GARDENS","583200",,"52 ST NICHOLAS AVENUE","0","78","Manhattan","MN10: Central Harlem","09","Manhattan 216","1","30","1925","ST NICHOLAS COOPERATI","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221(d)(3) Below Market Interest Rate (BMIR)",,"Affordable","1967","Never",,"Never",,"Current","1967","Former","1968"
,"100656","ST. NICHOLAS MANOR APARTMENTS","-73.9446394321109","40.823575061931","BBL 1-02051-0054;HUD Property 800015879","ST. NICHOLAS MANOR APARTMENTS","5482800",,"352 WEST 145 STREET;680 ST NICHOLAS AVENUE","3","26","Manhattan","MN09: Morningside Heights/Hamilton","07","Manhattan 227.01","2","112","1900","680 SN LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1982","Never",,"Never",,"Current","1982","Former","1983"
,"100658","ST. PHILIPS ON THE PARK","-73.9478576315936","40.815770597693","BBL 1-01959-0001;HFA 1593;HUD Property 800015890","ST. PHILIPS ON THE PARK","6676200",,"468 ST NICHOLAS AVENUE","4","51","Manhattan","MN10: Central Harlem","09","Manhattan 217.02","1","260","1975","PHILIP'S PARK LLC","Rental","Housing Finance Agency;U.S. Department of Housing and Urban Development","LIHTC 4%;Project-Based Section 8;Section 236",,"Affordable","1976","Never",,"Current","2008","Current","2000","Former","1976"
,"100659","ST. PHILIPS-HARLEM HOSPITAL","-73.9422889158194","40.8091861145748","BBL 1-01726-0017;HUD Property 800015881","ST. PHILIPS-HARLEM HOSPITAL","974700",,"39 WEST 128 STREET","0","73","Manhattan","MN10: Central Harlem","09","Manhattan 208","1","21","1985","ST.PHILIP'S/W. 128 ST","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 202/811",,"Affordable","1985","Never",,"Never",,"Current","1985","Current","1986"
,"100660","ST. TERESA OF AVILA SENIOR HOUSING","-73.9596853395124","40.6731886375817","BBL 3-01175-0093;HUD Property 800212991","ST. TERESA OF AVILA SENIOR HOUSING","1664021",,"547 ST JOHNS PLACE","0",,"Brooklyn","BK08: Crown Heights/Prospect Heights","35","Brooklyn 217","1","63","2003","ST. TERESA OF AVILA","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","2002","Never",,"Never",,"Former","2002","Current","2002"
,"100661","STARRETT CITY","-73.8850873442127","40.6479659689213","BBL 3-04435-0001;BBL 3-04452-0001;BBL 3-04452-0020;BBL 3-04452-0200;HUD Property 800015895;OHO H147","STARRETT CITY","109095329",,"1430 FREEPORT LOOP;1520 HORNELL LOOP;1540 VAN SICLEN AVENUE;225 VANDALIA AVENUE;50 VANDALIA AVENUE","2","77","Brooklyn","BK05: East New York/Starrett City","42","Brooklyn 1058","46","5881","1971","STARRETT CITY, INC.","Rental","Department of Finance;Division of Housing & Community Renewal;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Mitchell-Lama;Project-Based Section 8;Rental Assistance Program (RAP);Section 236","Limited Profit","Affordable","1974","Current, Eligible to Opt Out","1974","Never",,"Current","1976","Current","1976"
,"100662","STEVENSON COMMONS","-73.8599136819262","40.8206762034602","BBL 2-03600-0004;HPD Property C2091;HUD Property 800015900","1850 Lafayette Avenue;1856 Lafayette Avenue;1860 Lafayette Avenue;1870 Lafayette Avenue;1880 Lafayette Avenue;711 White Plains Road;721 White Plains Road;741 White Plains Road;755 White Plains Road;STEVENSON COMMONS","78834000",,"1850 LAFAYETTE AVENUE;1856 LAFAYETTE AVENUE;1870 LAFAYETTE AVENUE;1880 LAFAYETTE AVENUE;711 WHITE PLAINS ROAD;741 WHITE PLAINS ROAD;751 WHITE PLAINS ROAD","0",,"Bronx","BX09: Parkchester/Soundview","18","Bronx 16","7","948","1977","LAVANBURG COMMUNITY I","Rental","Department of Finance;Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Mitchell-Lama;Other HDC Mortgage;Rental Supplement Program (Rent Supp);Section 223 (f)",,"Affordable","1975","Current, Eligible to Opt Out","1975","Never",,"Current","1975","Never",
,"100663","STUYPARK HOUSING","-73.9467078395622","40.6770946552608","BBL 3-01208-0001;HUD Property 800015907;OHO H152","Stuypark House;STUYPARK HOUSING","975600",,"77 NEW YORK AVENUE","0","92","Brooklyn","BK08: Crown Heights/Prospect Heights","36","Brooklyn 313","1","103","1975","STUYPARK HOUSING CO I","Rental","Division of Housing & Community Renewal;U.S. Department of Housing and Urban Development","Mitchell-Lama;Rental Assistance Program (RAP);Section 236","Non-Profit","Affordable","1974","Current, not Eligible to Opt Out","1975","Never",,"Current","1976","Current","1974"
,"100664","SUEHAR ASSOCIATES","-73.961497949289","40.7992994149131","BBL 1-01842-0053;HUD Property 800015910","SUEHAR ASSOCIATES","1139300",,"60 WEST 107 STREET","1","40","Manhattan","MN07: Upper West Side","08","Manhattan 193","1","75","1940","SUEHAR ASSOCIATES","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Not Affordable","1972","Never",,"Never",,"Former","1972","Former","1972"
,"100666","SUNSET GARDENS","-74.0084038886776","40.6497001303614","BBL 3-00729-0072;HUD Property 800217822","SUNSET GARDENS","2699352",,"405 44 STREET","0",,"Brooklyn","BK07: Sunset Park","38","Brooklyn 82","1","80","2007","SUNSET GARDENS HOUSIN","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","2006","Never",,"Never",,"Current","2006","Current","2006"
,"100667","SUNSET PARK HOUSING","-74.0173644387518","40.6423376301234","BBL 3-00846-0035;BBL 3-00846-0040;HUD Property 800015917","SUNSET PARK HOUSING","1798200",,"5702 4 AVENUE;5714 4 AVENUE","0","83","Brooklyn","BK07: Sunset Park","38","Brooklyn 74","2","65","1911","SUNSET HOUSING ASSOCI","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions;Section 223 (f)",,"Affordable","1979","Never",,"Never",,"Current","1979","Former","1981"
,"100668","SUNSET PARK NSA GROUP I","-74.0120824382686","40.6449815289331","BBL 3-00792-0056;BBL 3-00799-0025;BBL 3-00809-0002;BBL 3-00809-0003;BBL 3-00809-0004;BBL 3-00809-0005;BBL 3-00809-0006;BBL 3-00809-0007;BBL 3-00816-0037;BBL 3-00817-0001;BBL 3-00817-0005;BBL 3-00821-0012;BBL 3-00830-0033;BBL 3-00830-0035;BBL 3-00832-0051;BBL 3-00839-0006;BBL 3-00980-0075;HUD Property 800015920","SUNSET PARK NSA GROUP I","8695279",,"218 54 STREET;220 54 STREET;224 54 STREET;364 55 STREET;368 55 STREET;370 4 AVENUE;370 55 STREET;374 55 STREET;378 55 STREET;380 55 STREET;448 51 STREET;5203 6 AVENUE;5205 6 AVENUE;5207 6 AVENUE;5209 6 AVENUE;5211 6 AVENUE;5213 6 AVENUE;523 51 STREET;5301 6 AVENUE;5302 6 AVENUE;5319 SIXTH AVENUE;5609 4 AVENUE;565 56 STREET","4","91","Brooklyn","BK07: Sunset Park","38","Brooklyn 78","23","186","1910","NEIGHBORHOOD STAB. AS","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","1983","Never",,"Never",,"Current","1983","Never",
,"100669","SUNSET PARK NSA GROUP II","-74.0157184277321","40.6453516346011","BBL 3-00723-0067;BBL 3-00774-0059;BBL 3-00775-0065;BBL 3-00775-0080;BBL 3-00783-0021;BBL 3-00784-0038;BBL 3-00784-0039;BBL 3-00784-0045;BBL 3-00784-0047;BBL 3-00814-0020;HUD Property 800015919","SUNSET PARK NSA GROUP II;SUNSET PARK NSA PHASE II","4089477",,"317 43 STREET;321 43 STREET;334 53 STREET;436 49 STREET;440 49 STREET;441 49 STREET;442 49 STREET;4902 6 AVENUE;4906 SIXTH AVENUE;4920 6 AVENUE;4924 SIXTH AVENUE;517 49 STREET;549 49 STREET","4","88","Brooklyn","BK07: Sunset Park","38","Brooklyn 76","13","148","1906","NEIGHBORHOOD STAB ASS","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions;Section 223 (f)",,"Affordable","1984","Never",,"Never",,"Current","1984","Former","1984"
,"100670","SUNSET PARK REHAB","-74.0090409838042","40.6440595624813","BBL 3-00792-0024;BBL 3-00821-0071;BBL 3-00821-0072;HUD Property 800015921","SUNSET PARK REHAB","409888",,"213 55 STREET;217 55 STREET;558 50 STREET","7","90","Brooklyn","BK07: Sunset Park","38","Brooklyn 98","3","28","1924","SUNSET IV EQUITIES LL","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","1979","Never",,"Never",,"Current","1979","Never",
,"100671","SUPERBLOCK SITE A","-73.9396616101506","40.6749392764009","BBL 3-01223-0053;HUD Property 800015922","SUPERBLOCK SITE A","645300","Delinquent for over $500 of taxes for at least one year, as of 10/2012","959 ST MARKS AVENUE","0","19","Brooklyn","BK08: Crown Heights/Prospect Heights","36","Brooklyn 311","1","52","1973","959 ST. MARKS REALTY","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221(d)(3) Below Market Interest Rate (BMIR)",,"Affordable","1972","Never",,"Never",,"Current","1972","Former","1972"
,"100672","SURF GARDENS",,,"BBL 3-07049-0050;HUD Property 800219972","SURF GARDENS","67608",,,"244",,"Brooklyn","BK13: Coney Island","47",,"1","76",,"SURF GARDENS HSG DEVE","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","2010","Never",,"Never",,"Current","2010","Current","2010"
,"100673","SUTTER GARDENS","-73.8881321367045","40.669625260312","BBL 3-04027-0001;BBL 3-04043-0001;BBL 3-04044-0001;HUD Property 800015924","SUTTER GARDENS","20682000",,"380 SCHENCK AVENUE;440 SCHENCK AVENUE;475 HENDRIX STREET;520 BARBEY STREET;560 BELMONT AVENUE;807 SUTTER AVENUE;820 SUTTER AVENUE;825 BLAKE AVENUE;845 BLAKE AVENUE","0","89","Brooklyn","BK05: East New York/Starrett City","42","Brooklyn 1160","9","258","1983","SUTTER HOUSING ASSOCI","Rental","U.S. Department of Housing and Urban Development","Other HUD Insurance without affordability restrictions;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1983","Never",,"Never",,"Current","1983","Former","1984"
,"100674","SUTTER HOUSES","-73.921607924379","40.6652201330375","BBL 3-03509-0001;BBL 3-03509-0064;BBL 3-03531-0025;BBL 3-03531-0028;HUD Property 800015686","SUTTER HOUSES","2451060",,"2070 UNION STREET;24A SUTTER AVENUE;30A SUTTER AVENUE;701 RALPH AVENUE","5","80","Brooklyn","BK16: Brownsville","41","Brooklyn 900","4","120","1930","SUTTER HOUSES ASSOCIA","Rental","U.S. Department of Housing and Urban Development","Other HUD Insurance without affordability restrictions;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1982","Never",,"Never",,"Current","1982","Former","1983"
,"100675","TAINO TOWERS","-73.9361514372929","40.8017337093905","BBL 1-01787-0001;BBL 1-01787-0060;BBL 1-01787-0070;BBL 1-01787-0080;HUD Property 800015931","TAINO TOWERS","29556288",,"219 EAST 122 STREET;224 EAST 123 STREET;2243 THIRD AVENUE;2383 2 AVENUE","52","98","Manhattan","MN11: East Harlem","08","Manhattan 194","4","656","1974","EAST HRLM PILT BLCKET","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 236",,"Affordable","1976","Never",,"Never",,"Current","1981","Current","1976"
,"100676","TANYA TOWERS","-73.9777027590886","40.7281409023114","BBL 1-00395-0012;HPD Property C1091;HUD Property 800015934","612 28 East 13th Street;TANYA TOWERS","5581800",,"612 EAST 13 STREET","0","90","Manhattan","MN03: Lower East Side/Chinatown","02","Manhattan 28","1","138","1973","TANYA TOWERS","Rental","Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","Mitchell-Lama;Other HDC Mortgage;Rental Supplement Program (Rent Supp);Section 223 (f)",,"Affordable","1973","Current, not Eligible to Opt Out","1973","Never",,"Former","1973","Never",
,"100677","TANYA TOWERS II","-73.9909376895424","40.7214894260599","BBL 1-00421-0044;HUD Property 800015935","TANYA TOWERS II","2576610",,"174 FORSYTH STREET","0","58","Manhattan","MN03: Lower East Side/Chinatown","01","Manhattan 36.01","1","40","1993","NYSD HOUSING DVLP ETC","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","1994","Never",,"Never",,"Current","1994","Current","1994"
,"100678","TARGET V PHASE I","-73.9110747763744","40.8522334931994","BBL 2-02869-0159;BBL 2-02869-0163;HUD Property 800015936","1971 Grand Avenue;1975 Grand Avenue;Target V;TARGET V PHASE I","1902600",,"1971 GRAND AVENUE;1975 GRAND AVENUE","0","97","Bronx","BX05: Fordham/University Heights","14","Bronx 243","3","83","1920","TARGET V, L.P.","Rental","Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","LIHTC 4%;Other HDC Mortgage;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions","For Profit","Affordable","1985","Never",,"Current","2006","Current","1985","Former","1986"
,"100679","TBM HOUSING","-73.8696569404267","40.8635983518935","BBL 2-04427-0004;HUD Property 800015937","TBM HOUSING","891000",,"2501 BARKER AVENUE","0","96","Bronx","BX11: Morris Park/Bronxdale","13","Bronx 332","1","100","1989","TBM HOUSING  DEVELOP","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 202/811",,"Affordable","1989","Never",,"Never",,"Current","1989","Current","1989"
,"100680","TBM II","-73.8690062413282","40.8598977647413","BBL 2-04341-0020;HUD Property 800015618","TBM II","1066500",,"2275 OLINVILLE AVENUE","1","92","Bronx","BX11: Morris Park/Bronxdale","13","Bronx 332","1","95","1993","PARK HOUSING DEVELOPM","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","1994","Never",,"Never",,"Current","1994","Current","1994"
,"100681","TERRACE GARDENS","-74.0827059125054","40.609316874156","BBL 5-02893-0001;HUD Property 800015940;HUD Property 800236924","TERRACE GARDENS;TERRACE GARDENS III","1744200","Delinquent for over $500 of taxes for at least one year, as of 10/2012","195 STEUBEN STREET","9","90","Staten Island","SI01: St. George/Stapleton","49","Staten Island 40","2","98","1972","STEUBEN DELSHAH,LLC","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8;Section 236",,"Not Affordable","1973","Never",,"Never",,"Former","2001","Former","1973"
,"100682","TERRACE GARDENS  I","-74.0819634787763","40.6088974530214","BBL 5-02894-0001;HUD Property 800015939","TERRACE GARDENS  I","1586700","Delinquent for over $500 of taxes for at least one year, as of 10/2012","231 STEUBEN STREET","2","90","Staten Island","SI01: St. George/Stapleton","49","Staten Island 40","2","99","1972","STEUBEN DELSHAH,LLC","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8;Section 236",,"Not Affordable","1973","Never",,"Never",,"Former","2001","Former","1973"
,"100684","TERRIFIC TENEMENTS","-73.9910222918789","40.7629707664957","BBL 1-01058-0016;BBL 1-01076-0015;HPD Application 2010-032;HUD Property 800015941","425 West 48th Street;527 West 47th Street;TERRIFIC TENEMENTS;Terrific Tenements Apartments","5211900",,"421 WEST 48 STREET;425 WEST 48 STREET;525 WEST 47 STREET","3","89","Manhattan","MN04: Clinton/Chelsea","03","Manhattan 127","3","88","1901","CLINTON HOUSING PRESE","Rental","Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","LIHTC 4%;Other HDC Mortgage;Other HUD Insurance without affordability restrictions;Project-Based Section 8","For Profit","Affordable","1983","Never",,"Current","2010","Current","1983","Never",
,"100685","THE CAROLINE APARTMENTS","-73.9208941870339","40.8658460994263","BBL 1-02226-0029;HFA 1885;HUD Property 800015943;SHARS 20120044","CAROLINE APARTMENTS;Caroline Apts. - Related;THE CAROLINE APARTMENTS","3925600",,"210 SHERMAN AVENUE","1","68","Manhattan","MN12: Washington Heights/Inwood","10","Manhattan 293","1","126","1930","CAROLINE APARTMENTS P","Rental","Housing Finance Agency;U.S. Department of Housing and Urban Development","LIHTC 4%;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1981","Never",,"Current","2008","Current","1981","Former","1981"
,"100686","THE CLARKSON","-73.9249499522777","40.6582835714904","BBL 3-04626-0032;HUD Property 800015945","THE CLARKSON","56605","Delinquent for over $500 of taxes for at least one year, as of 10/2012","280 EAST 91 STREET","1","99","Brooklyn","BK17: East Flatbush","41","Brooklyn 866","1","31","1929","DIAS, EVA A","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1981","Never",,"Never",,"Current","2001","Former","1981"
,"100688","THESSALONICA COURT APARTMENTS","-73.9152212410724","40.8093779860746","BBL 2-02556-0002;HPD Application 2004-125;HUD Property 800015955","350 St. Ann's Avenue;Thessalonica Court;THESSALONICA COURT APARTMENTS","5218200",,"334 ST ANNS AVENUE","1","91","Bronx","BX01: Mott Haven/Melrose","17","Bronx 33","1","191","1985","TC HOUSING DEVELOPMEN","Rental","Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","LIHTC 4%;Other HDC Mortgage;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions","For Profit","Affordable","1986","Never",,"Current","2004","Current","1986","Former","1986"
,"100689","TILDEN APARTMENTS","-73.9494921413192","40.6471037656479","BBL 3-05131-0019;HUD Property 800015958","TILDEN APARTMENTS","750600",,"2913 TILDEN AVENUE","4","71","Brooklyn","BK17: East Flatbush","40","Brooklyn 824","1","55","1928","SPENCER HOUSING REAL","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1971","Never",,"Never",,"Current","1985","Former","1971"
,"100690","TILDEN STREET APARTMENTS","-73.8643546222238","40.8771125932063","BBL 2-04659-0001;HUD Property 800112227","TILDEN STREET APARTMENTS","1485486",,"701 TILDEN STREET","0",,"Bronx","BX12: Williamsbridge/Baychester","12","Bronx 380","1","45","2004","THE PAVILION HOUSING","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","2003","Never",,"Never",,"Former","2003","Current","2003"
,"100691","TOPPING AVENUE RESIDENCE","-73.9056626907143","40.8426584205604","BBL 2-02790-0001;HUD Property 800055406","TOPPING AVENUE RESIDENCE","745",,"1638 TOPPING AVENUE","0",,"Bronx","BX04: Highbridge/Concourse","14","Bronx 229.02","1","8",,"SALVATION ARMY","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","1999","Never",,"Never",,"Current","1999","Current","1999"
,"100692","TOWER WEST APARTMENTS","-73.9668862881821","40.7930513537926","BBL 1-01832-0001;HPD Property C1093;HUD Property 800026788","65 West 96th Street;TOWER WEST;TOWER WEST APARTMENTS","8388000",,"63 WEST 95 STREET","0","97","Manhattan","MN07: Upper West Side","08","Manhattan 181","1","217","1971","CITY OF NEW YORK","Rental","Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","Mitchell-Lama;Other HDC Mortgage;Project-Based Section 8;Section 223 (f);Section 236",,"Affordable","1970","Current, Eligible to Opt Out","1971","Never",,"Current","1970","Current","1979"
,"100693","TRANSITIONAL SERVICES FOR NEW YORK","-73.8554038334053","40.7395857206872","BBL 4-01952-0045;HUD Property 800222664","TRANSITIONAL SERVICES FOR NEW YORK","221616",,"57-43 GARAGE PENROD STREET","0",,"Queens","QN04: Elmhurst/Corona","21","Queens 437","1","6","2005","TSI PROPERTIES I, INC","Rental","U.S. Department of Housing and Urban Development","Project Rental Assistance Contract (PRAC);Section 202/811",,"Affordable","2009","Never",,"Never",,"Current","2009","Current","2009"
,"100694","TRI-BLOCK HOUSES","-73.9780693724685","40.6885396057605","BBL 3-02096-0006;BBL 3-02097-0007;BBL 3-02097-0015;HUD Property 800015973","TRI-BLOCK;TRI-BLOCK HOUSES","7045200",,"219 ASHLAND PLACE;35 ST FELIX STREET;36 FORT GREENE PLACE;42 ST FELIX STREET;51 ST FELIX STREET;56 FORT GREENE PLACE","3","90","Brooklyn","BK02: Fort Greene/Brooklyn Heights","35","Brooklyn 33","7","96","1930","TRI BLOCK ASSOCIATES","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions;Section 223 (f)",,"Affordable","1984","Never",,"Never",,"Current","1984","Former","1984"
,"100695","TRINITY APARTMENTS","-73.8818013443784","40.8449859039405","BBL 2-03125-0001;HPD Application 2011-013;HUD Property 800015975","2105 Daly Avenue;TRINITY APARTMENTS","1196100",,"2105 DALY AVENUE","1","96","Bronx","BX06: Belmont/East Tremont","15","Bronx 363","1","75","1930","TRINITY PRESERVATION","Rental","Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","LIHTC 4%;Other HDC Mortgage;Project-Based Section 8","For Profit","Affordable","2001","Never",,"Current","2011","Current","2001","Never",
,"100696","TRI-SENIOR HOUSING","-73.9725614094695","40.6317408111477","BBL 3-05420-0050;HFA 1665;HUD Property 800016072;SHARS 20120024","Tri Senior Housing;TRI-SENIOR HOUSING","2303100",,"680 OCEAN PARKWAY","0","61","Brooklyn","BK14: Flatbush/Midwood","44","Brooklyn 480","1","89","1991","TRI-SENIOR HOUSING AS","Rental","Housing Finance Agency;U.S. Department of Housing and Urban Development","LIHTC 4%;Project-Based Section 8;Section 202/811",,"Affordable","1987","Never",,"Current","2008","Current","1993","Current","1987"
,"100697","TRI-SENIOR HOUSING","-73.9957337133727","40.641493469788","BBL 3-05608-0006;HFA 1665;HUD Property 800016079;SHARS 20120024","Tri Senior Housing;TRI-SENIOR HOUSING","516870",,"1002 44 STREET","0","81","Brooklyn","BK12: Borough Park","39","Brooklyn 112","1","74","1923","TRI-SENIOR HOUSING AS","Rental","Housing Finance Agency;U.S. Department of Housing and Urban Development","LIHTC 4%;Project-Based Section 8;Section 202/811",,"Affordable","1984","Never",,"Current","2008","Current","1984","Current","1987"
,"100698","TRI-SENIOR HOUSING","-73.9949842231607","40.6415922516198","BBL 3-05602-0030;HFA 1665;HUD Property 800016080;SHARS 19900555;SHARS 20120024","Tri Senior Housing;TRI-SENIOR HOUSING","805500",,"1017 44 STREET","1","55","Brooklyn","BK12: Borough Park","39","Brooklyn 112","1","40","1924","TRI-SENIOR HOUSING AS","Rental","Division of Housing & Community Renewal;Housing Finance Agency;U.S. Department of Housing and Urban Development","LIHTC 4%;Other HCR Subsidy;Project-Based Section 8;Section 202/811",,"Affordable","1985","Never",,"Current","2008","Current","1985","Current","1986"
